Date,Text
2020-07-08,"$PFE $RTX $XOM all being removed from the Dow Jones.

Why? The Apple stock split reduced tech weighting from 27% to… https://t.co/PxpA0mxajg"
2020-07-09,"XOM, PFE &amp; RTX are being removed from the Dow and are being replaced by CRM, AMGN, &amp; HOM (as a result of Apple's 4-… https://t.co/7vNA0mlGeE"
2020-07-10,"Index funds are not always passive. $CRM, $AMGN, $HON into the DOW $XOM , $PFE , $RTX are out.

Why? Because $AAPL… https://t.co/ZhBFZ0y3Lg"
2020-07-13,"Breakout pattern shown in $FTNT, $NOW and $PFE. https://t.co/s9sKdgsYMv"
2020-07-14,"RT @Alpha_Bronze: Salesforce, Amgen and Honeywell added to Dow in shake-up! S&amp;P #DowJones said 3 new companies will be joining the 30-stock…"
2020-07-15,https://t.co/uFuxkWHorn Sports related stock talk and more $NKE $UAA $AMZN $DIS $TWC $AAPL $TSLA $MSFT $KODK $PFE… https://t.co/95WKkpqCX3
2020-07-16,"The Dow will also lose it's lowest-weighted stock,Pfizer, which only trades at ~$38/share. $PFE"
2020-07-17,"@Dividend_Dollar I'm new to following the stock market, will this be beneficial for companies being replaced? (XOM, RTX, PFE)"
2020-07-20,"$DOW

So three stocks which were under $100

Replaced by expensive stocks :)

Also because AAPL stock split is comi… https://t.co/QLxMfS7dsD"
2020-07-21,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-07-22,$PFE - Pfizer's Stock May Be Heading For A Big Breakout. https://t.co/mv3ZILKXxH  https://t.co/MDJVjsjqeY
2020-07-23,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-07-24,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-07-27,"$PFE The drop in Apple’s stock price resulting from its split will reduce its weight within the Dow, along with the… https://t.co/9Hyo3ee9Mn"
2020-07-28,"Price weighted indexes aren't common, but $DJIA index is one of them. $PFE $XOM &amp; $RTX removed from the index due t… https://t.co/CWIMhRUlIe"
2020-07-29,"RT @MinteractApp: Monday's Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $PFE $REGN $MYL $EW $BAX $SYK $BIIB $LH $VAR $MCK $UNH $AMG…"
2020-07-30,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2020-07-31,@ChartsWithBret I would guess it had to do with the chronic underperformance of $PFE as well. Stock hasn’t really m… https://t.co/oyWrno6XCC
2020-08-03,"RT @cfromhertz: $CRM Salesforce, $AMGN Amgen, $HON Honeywell to Join DJIA Index  

deleted: $XOM $PFE $RTX 

The index changes were prompte…"
2019-12-31,"Salesforce, Amgen and Honeywell added to Dow in shake-up! S&amp;P #DowJones said 3 new companies will be joining the 30… https://t.co/BITWouX2DQ"
2020-01-02,"Changes to Dow30 as of Mon. Aug 31st: Salesforce $CRM to replace Exxon $XOM 

Amgen $AMGN to replace Pfizer $PFE

H… https://t.co/M3rxo7lfcB"
