Date,Text
2020-05-20,Retweet selected by the https://t.co/vVDDtakB5w team |      Its Officially Time to Worry About Amazon Stock #stock… https://t.co/vw1PMc4k1Q
2020-05-21,"RT @assetdash: Top 10 Stocks By Market Cap 🏆

1. $AAPL ($2.1T)
2. $AMZN ($1.7T)
3. $MSFT ($1.6T)
4. $GOOGL ($1.1T)
5. $FB ($844B)
6. $BABA…"
2020-05-22,"STEAL!!

Shorts for $18!!! (retail $20)

https://t.co/CDOsI7Nrjr

TONS of sizes/colors in stock!! https://t.co/eReJTfUvfG"
2020-05-26,"RT @drose_999: If you’re considering joining a start-up, read this blog post from my partner @yanda. Most people don’t understand stock com…"
2020-05-27,"RT @seeitmarket: NEW Article: “Is Apple’s Stock Worthy of $2 Trillion Market Cap?” - https://t.co/zrPL9ED66r

by @MichaelLebowitz $AAPL $MS…"
2020-05-28,"#Options Flow Grid Update $AMZN #OptionsTrading #Amazon Shares 🔻0.97% to $3,408.5 #OptionsFlow #optiontrading… https://t.co/m6OUvYTKCd"
2020-05-29,"RT @MinteractApp: S&amp;P 500 (Aug 27), Top 10 StockMarket Sell Flow Stocks Animated $AAPL $MSFT $AMZN ... #stocks #stock #StockMarket #Investm…"
2020-06-01,"RT @MinteractApp: NASDAQ 100 (Aug 27), Top 10 StockMarket Sell Flow Stocks Animated $AAPL $MSFT $AMZN ... #stocks #stock #StockMarket #Inve…"
2020-06-02,"RT @MinteractApp: Thursday's Top Flow in S&amp;P 500 #SP500, Buy Flow and Sell Flow $JNJ $MCD $PEP $BA $INTU $AMT $GS $C $HD $ISRG $AAPL $MSFT…"
2020-06-03,"RT @MinteractApp: Thursday's Top Flow in #NASDAQ #NASDAQ100, Buy Flow and Sell Flow $INTU $ISRG $AMAT $WYNN $MXIM $EXPD $MU $PAYX $ORCL $BI…"
2020-06-04,"RT @MinteractApp: Thursday's Top Flow in #consumer discretionary sector, Buy Flow &amp; Sell Flow $MCD $DIS $HD $TJX $BWA $BBY $WYNN $JCI $DHI…"
2020-06-05,"RT @MinteractApp: Thursday's Top Flow in #StockMarket, Buy Flow and Sell Flow $XLU $TSLA $JNJ $MCD $UNH $HYG $GDX $XLF $PEP $JNK $AAPL $MSF…"
2020-06-08,"4 pack of Dial Antibacterial Soap, $6.49!    
      
*temporarily out of stock but you can still order… https://t.co/Bs6gwouS7E"
2020-06-09,"RT @MinteractApp: S&amp;P 500 (Aug 27), Top 10 StockMarket Sell Flow Stocks Animated $AAPL $MSFT $AMZN ... #stocks #stock #StockMarket #Investm…"
2020-06-10,"RT @MinteractApp: NASDAQ 100 (Aug 27), Top 10 StockMarket Sell Flow Stocks Animated $AAPL $MSFT $AMZN ... #stocks #stock #StockMarket #Inve…"
2020-06-11,"RT @MinteractApp: Thursday's Top Flow in #consumer discretionary sector, Buy Flow &amp; Sell Flow $MCD $DIS $HD $TJX $BWA $BBY $WYNN $JCI $DHI…"
2020-06-12,"RT @MinteractApp: Thursday's Top Flow in S&amp;P 500 #SP500, Buy Flow and Sell Flow $JNJ $MCD $PEP $BA $INTU $AMT $GS $C $HD $ISRG $AAPL $MSFT…"
2020-06-15,"RT @MinteractApp: Thursday's Top Flow in #NASDAQ #NASDAQ100, Buy Flow and Sell Flow $INTU $ISRG $AMAT $WYNN $MXIM $EXPD $MU $PAYX $ORCL $BI…"
2020-06-16,"RT @MinteractApp: Thursday's Top Flow in #StockMarket, Buy Flow and Sell Flow $XLU $TSLA $JNJ $MCD $UNH $HYG $GDX $XLF $PEP $JNK $AAPL $MSF…"
2020-06-17,"Go Quick!!!

NEW Apple Airpods Pro for UNDER RETAIL!!!

Only $235!! (coupon applies at checkout)… https://t.co/7SMYDrDYuh"
2020-06-18,"RT @FatKidDeals: NEW Google Pixel 4a back in stock at retail!! (Has been sold out for WEEKS!)

https://t.co/AnWxZkjMW5 https://t.co/toVstU1…"
2020-06-19,"RT @FatKidDeals: NEW Google Pixel 4a back in stock at retail!! (Has been sold out for WEEKS!)

https://t.co/AnWxZkjMW5 https://t.co/toVstU1…"
2020-06-22,"Funko Pops starting at $4!! 
 
https://t.co/l6uTF81rPX

HUNDREDS in stock!! https://t.co/S0n2ZI9hlZ"
2020-06-23,@Cjl721 @kmskala @delf0s You're just confirming my point regarding the FED's manipulation of the stock market. I'm… https://t.co/sos4MdOtqa
2020-06-24,"NEW Google Pixel 4a back in stock at retail!! (Has been sold out for WEEKS!)

https://t.co/AnWxZkjMW5 https://t.co/toVstU1Ceh"
2020-06-25,@charliebilello @ycharts $TSLAs multiple is a competitive advantage. They can issue stock with minimal dilution to… https://t.co/EM767UhPIg
2020-06-26,RT @FreddyInSpace: The weirdest thing about Underwater is that you cannot buy the DVD or Blu-ray directly from Amazon and I'm pretty sure t…
2020-06-29,RT @FreddyInSpace: The weirdest thing about Underwater is that you cannot buy the DVD or Blu-ray directly from Amazon and I'm pretty sure t…
2020-06-30,RT @FreddyInSpace: The weirdest thing about Underwater is that you cannot buy the DVD or Blu-ray directly from Amazon and I'm pretty sure t…
2020-07-01,"GO QUICK! Wet Ones Antibacterial Hand Wipes, Fresh Scent, 20 Count (Pack of 10) in Stock!

https://t.co/zMaOeZsKp3… https://t.co/Zp5jnDW8ns"
2020-07-02,"RT @FatKidDeals: Antibacterial Wipes in stock- only 80 left!!

https://t.co/C9zi9vkD0M https://t.co/IfflpfZ5Dm"
2020-07-06,RT @FreddyInSpace: The weirdest thing about Underwater is that you cannot buy the DVD or Blu-ray directly from Amazon and I'm pretty sure t…
2020-07-07,Adjustable 66LB Dumbbell Weight Set w/ 4 Spinlock Collars &amp; 2 Connector Options in stock for $109.99!!… https://t.co/nf72mqX5XO
2020-07-08,"Perfect Fitness Perfect Pushup Elite back in stock!  
 
https://t.co/a1xjRBbX0T https://t.co/hx4Hx1Sefd"
